year settled,year filed,Agency,Amount,Category,Race,Disability,Sex,Religion,Whistleblower,National Origin,Age,Sexual Orientation,Sexual Harassment,Discrimination,Victim of Domestic Violence,Retaliation,Wrongful Termination,Disbaility,Pregnancy,HIV
2009,2004,Department of Parks & Recreation,15000.00,"Race,Sexual Harassment",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2007,Department of Parks & Recreation,12000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2008,Department of Parks & Recreation,20000.00,Sexual Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2009,Department of Parks & Recreation,2850.00,Age,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,2009,Department of Parks & Recreation,60000.00,Sexual Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2008,Department of Probation,17500.00,Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2009,Department of Probation,36000.00,"Disability,HIV",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2009,2009,Department of Probation,1000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1996,Department of Sanitation,25000.00,"National Origin,Wrongful Termination",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2009,2008,Department of Sanitation,20000.00,"Disability,Wrongful Termination",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,2009,Department of Sanitation,15000.00,"Gender,National Origin",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,2009,Department of Transportation,15000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2003,District Attorney Kings,4577.00,Wrongful Termination,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,2004,Health & Hospitals Corporation,35000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2004,Health & Hospitals Corporation,35000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2004,Health & Hospitals Corporation,35000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2004,Health & Hospitals Corporation,35000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2005,Health & Hospitals Corporation,75000.00,"Gender,Wrongful Termination",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2009,2007,Health & Hospitals Corporation,135000.00,Sexual Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2008,Health & Hospitals Corporation,14500.00,"Religion,National Origin",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2009,2009,Health & Hospitals Corporation,15000.00,"Age,Gender",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,2009,Health & Hospitals Corporation,72000.00,Sexual Harassment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2008,Housing Preservation & Development,50000.00,"Race,Age",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,2009,Housing Preservation & Development,2000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2009,HRA,6000.00,"Race,Age,Disability,Wrongful Termination",1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2009,2004,Marine Aviation,140723.00,"Disability,National Origin",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,2003,Off-Track Betting,10000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2009,Sheriff,50000.00,"Sex,National Origin",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2009,ACS,130172.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,ACS,15000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,ACS,15000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2008,Department of Correction,45000.00,"Disability,Sexual Orientation",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2008,Department of Correction,55000.00,"Disability,Sexual Orientation",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2008,Department of Correction,70000.00,"Disability,Sexual Orientation",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2009,Department of Correction,7500.00,"Race,Gender",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Correction,45000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Correction,175000.00,"Religion,National Origin",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010,2004,Department of Education,250000.00,"Whistleblower,Sex Orientation,Race",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2010,2004,Department of Education,25000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2007,Department of Education,425000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2007,Department of Education,175000.00,"Age,Disability",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,2009,Department of Education,46000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Education,45000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Education,75000.00,Age,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,2009,Department of Education,2500.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Education,50000.00,"Gender,Disability",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,25000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,40000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,200000.00,Whistleblower,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,2327.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,3000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,7500.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,10000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Education,15000.00,Religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,2007,Department of Environmental Protection,40000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Environmental Protection,100000.00,"Age,Gender",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,2010,Department of Environmental Protection,160000.00,"Gender,Age",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,2010,Department of Environmental Protection,425000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Environmental Protection,425000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2008,Department of Health,90000.00,Whistleblower,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Health,90000.00,"Disability,Race,Religion",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Department of Health,150000.00,"Race,Religion",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Health,100000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Department of Parks & Recreation,1100.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2008,Department of Probation,13500.00,Sexual Orientation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2009,Department of Transportation,20000.00,"Age,Race,Gender",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,2005,Fire Department,345000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Fire Department,115000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Fire Department,150000.00,National Origin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2009,Health & Hospitals Corporation,55000.00,"Race,Gender,National Origin",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2009,Health & Hospitals Corporation,55000.00,"Race,Gender,National Origin",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2009,Health & Hospitals Corporation,40000.00,Religion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,7500.00,"National Origin,Race,Religion",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,100000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,45000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,2000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,3000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,30000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Health & Hospitals Corporation,950000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Housing Preservation & Development,58000.00,"Disability,Religion",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,2008,Department of Human Resources Administration,25000.00,Discrimination,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010,2005,Police Department,175000.00,Sexual Orientation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2006,Police Department,150000.00,Religion National Origin,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010,2008,Police Department,60000.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2008,Police Department,152500.00,"Race,Religion,National Origin",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2010,2009,Police Department,12500.00,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2010,Police Department,80000.00,"Gender,Race,Sexual Orientation",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2010,Police Department,125000.00,Sexual Orientation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,2009,Queens Borough President,98000.00,Gender,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2009,Sheriff,50000.00,National Origin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,2010,Sheriff,40000.00,"Race,National Origin",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,,City University (CUNY),17451.00,"National Origin,Race,Disability",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,,City University (CUNY),17451.00,"Harassment,Retaliation",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2002,,Department of Citywide Administrative Services,92000.00,Disability,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,,Board of Education,50000.00,National Origin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,,Health & Hospitals Corporation,245000.00,"Retaliation,Race",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,,Health & Hospitals Corporation,245000.00,Sex,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,,Office of Management & Budget ,60000.00,National Origin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,,Department of Parks & Recreation,40000.00,"Age,Retaliation",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2002,,Police Department,414868.80,Sexual Harassment,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,,Police Department,414868.80,Sexual Harassment,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,,Police Department,414868.80,"Gender,National Origin",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2002,,Police Department,414868.80,Race,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,,Police Department,414868.80,Sexual Orientation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,,Public Administrator - Kings,165000.00,Sexual Harassment,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,,Dept. of Information Tech. and Tele.,160000.00,"Race,Retaliation",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,,Dept. of Transportation,100000.00,"Sex,Religion,National Origin",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
